AppId,StartTime,EndTime,Id
"Dotyk.Application.Restaurant","2018-02-01T10:01:37.5371306Z","2018-02-01T10:35:27.544Z","202aff9d-8631-4c12-85b3-64666473f428"
"Dotyk.Application.Restaurant","2018-02-01T10:01:49.8724877Z","2018-02-01T10:09:05.724Z","74d2a8c0-5531-4fc0-8478-f9ce11825f09"
"Dotyk.Application.News","2018-02-01T10:09:20.307Z","2018-02-01T10:09:20.307Z","0d8b4f17-2400-4a36-82a9-fa5d1b68b420"
"Dotyk.Application.News","2018-02-01T10:38:24.2228784Z","2018-02-01T10:56:12.747Z","9fb52ee5-a988-4e88-a5e8-7f17737218c6"
"Dotyk.Application.Restaurant","2018-02-01T10:56:22.4844866Z","2018-02-01T10:56:39.78Z","89f9ec3a-40da-4346-880f-541b710bf023"
"Dotyk.Application.Memory","2018-02-01T10:56:49.1303397Z","2018-02-01T10:56:54.519Z","64eebb71-d27e-462c-89a1-72854dcc13c0"
"Dotyk.Application.Restaurant","2018-02-01T11:28:15.5483841Z","2018-02-01T13:40:11.402Z","fbdc5aee-b6ed-4eda-aac7-78cd9fc5e127"
"Dotyk.Application.Paint","2018-02-01T12:19:39.6337006Z","2018-02-01T15:59:24.829Z","fc144b64-84d6-42d4-9e1c-2d68b2c81994"
"Dotyk.Application.Wallpapers","2018-02-01T12:19:55.9939916Z","2018-02-01T16:03:46.177Z","35d13b04-bfb5-4d87-9788-8b7de410f6c6"
"Dotyk.Application.Restaurant","2018-02-01T13:07:46.5198641Z","2018-02-01T13:08:17.33Z","4fced3e2-a635-4135-aade-9e3251c567e8"
"Dotyk.Application.AirHockey","2018-02-01T13:08:21.3375025Z","2018-02-01T14:33:02.617Z","55276e91-e09a-47a9-b1cf-bcdd8fcc96d0"
"Dotyk.Application.Wallpapers","2018-02-01T13:08:50.5101635Z","2018-02-01T13:08:56.361Z","d87585e6-2bc8-4bdc-94d3-a109be4f993e"
"Dotyk.Application.Restaurant","2018-02-01T13:19:32.4504737Z","2018-02-01T13:39:05.877Z","0279f430-cc28-4cde-9958-f4a5d8291007"
"Dotyk.Application.PhotoShare","2018-02-01T13:39:39.5837375Z","2018-02-01T13:41:04.703Z","43f02bee-f59e-4fd7-81cd-5bd370000bfc"
"Dotyk.Application.Restaurant","2018-02-01T13:40:57.7828101Z","2018-02-01T13:46:22.85Z","38c3e22b-f756-4cd8-8efc-838a9b6851e4"
